id,forwardPivotInt,InnerForwardPivotInt
1323963606992605184,Official sources may not have called the race when this was Tweeted,None
1324126579992088576,None,Official sources may not have called the race when this was Tweeted
1324030876234223619,None,Official sources may not have called the race when this was Tweeted
1324027105982763011,Official sources may not have called the race when this was Tweeted,None
1329405682706247683,This claim about election fraud is disputed,None
1324127372929622017,None,Official sources may not have called the race when this was Tweeted
1329406112534323207,None,This claim about election fraud is disputed
1325199668226220033,None,This claim about election fraud is disputed
1327095398712946695,This claim about election fraud is disputed,None
1327103466855084032,None,This claim about election fraud is disputed
1258796512328351745,None,Manipulated media
1268197769434394625,None,Manipulated media
1326240581677363200,None,This claim about election fraud is disputed
1325121195151220737,None,Official sources may not have called the race when this was Tweeted
1265295699521888257,None,Get the facts about mail-in ballots
1328859439533674496,None,This claim about election fraud is disputed
1328852352787484677,This claim about election fraud is disputed,None
1326239312887865344,This claim about election fraud is disputed,None
1324109046841040899,None,Official sources may not have called the race when this was Tweeted
1331228257384079362,None,This claim about election fraud is disputed
1331225404351373313,This claim about election fraud is disputed,None
1331987171700510720,This claim about election fraud is disputed,None
1332114835635572736,None,This claim about election fraud is disputed
1330330363214827525,None,This claim about election fraud is disputed
1325226067037220865,None,Official sources may not have called the race when this was Tweeted
1325232755530215424,None,This claim about election fraud is disputed
1328334945148952576,Multiple sources called this election differently,None
1327133281763139585,None,This claim about election fraud is disputed
1325232435924185089,None,This claim about election fraud is disputed
1330323589170663426,This claim about election fraud is disputed,None
1326926226888544256,This claim about election fraud is disputed,None
1332001893061685249,None,This claim about election fraud is disputed
1328388084883468289,None,Multiple sources called this election differently
1329571176927125506,None,This claim about election fraud is disputed
1329459995893764102,This claim about election fraud is disputed,None
1328335751373721606,None,Multiple sources called this election differently
1324336957661523968,Learn about US 2020 election security efforts,None
1329087255168708608,This claim about election fraud is disputed,None
1329094636258914305,None,This claim about election fraud is disputed
1324344990630354944,None,Learn about US 2020 election security efforts
1324359099270615042,None,This claim about election fraud is disputed
1324216584219623424,This claim about election fraud is disputed,None
1332666825490968578,This claim about election fraud is disputed,None
1328200072987893762,Multiple sources called this election differently,None
1328264949177704449,None,Multiple sources called this election differently
1328288368216723456,None,Multiple sources called this election differently
1324340247723913221,None,Learn about US 2020 election security efforts
1324533461705728002,None,Learn about US 2020 election security efforts
1324521345615601670,Learn about US 2020 election security efforts,None
1324009388907073539,None,Learn about US 2020 election security efforts
1324085636790423552,Some votes may still need to be counted,None
1332352538855747584,This claim about election fraud is disputed,None
1332365564417691649,None,This claim about election fraud is disputed
1324090820576858119,None,Some votes may still need to be counted
1324476882948132866,None,Learn about US 2020 election security efforts
1324473707121778688,Learn about US 2020 election security efforts,None
1327956491056279552,This claim about election fraud is disputed,This claim about election fraud is disputed
1323865283619147777,None,Learn about US 2020 election security efforts
1324613511729893381,None,Learn about US 2020 election security efforts
1328416629458427905,None,Multiple sources called this election differently
1328335209453002752,None,Multiple sources called this election differently
1325133112683220993,None,Official sources may not have called the race when this was Tweeted
1325100654566776838,None,Official sources may not have called the race when this was Tweeted
1325195499813523461,None,This claim about election fraud is disputed
1329075982423052291,None,This claim about election fraud is disputed
1325528640046632960,Manipulated media,None
1329075487553974275,This claim about election fraud is disputed,None
1325067112772235264,None,Learn about US 2020 election security efforts
1334891586119983109,None,This claim about election fraud is disputed
1328274256300552197,None,Multiple sources called this election differently
1334858852337070083,This claim about election fraud is disputed,None
1331086969183621120,This claim about election fraud is disputed,None
1331087885760667649,None,This claim about election fraud is disputed
1325101286505783297,None,Official sources may not have called the race when this was Tweeted
1334011820298948608,None,Manipulated media
1332553047382372352,Manipulated media,None
1323926165590052864,Learn about US 2020 election security efforts,None
1325200515278360576,None,This claim about election fraud is disputed
1327351058809675779,None,This claim about election fraud is disputed
1328338320510869511,None,Multiple sources called this election differently
1327350069947936768,This claim about election fraud is disputed,None
1325200787836817408,None,This claim about election fraud is disputed
1325197656940011520,None,This claim about election fraud is disputed
1326187777483034624,None,This claim about election fraud is disputed
1325898108589416448,None,This claim about election fraud is disputed
1325119695389929473,None,Official sources may not have called the race when this was Tweeted
1324109027018682370,None,Official sources may not have called the race when this was Tweeted
1325168162707529733,None,Official sources may not have called the race when this was Tweeted
1327619653020110850,This claim about election fraud is disputed,None
1327622627486281730,None,This claim about election fraud is disputed
1306566076096946178,None,Learn how voting by mail is safe and secure
1325113646914080770,None,Official sources may not have called the race when this was Tweeted
1328388498588626952,None,Multiple sources called this election differently
1324117385951932418,None,Official sources may not have called the race when this was Tweeted
1328830381429288962,This claim about election fraud is disputed,None
1324410474306428931,None,Learn about US 2020 election security efforts
1325125536197218306,None,Official sources may not have called the race when this was Tweeted
1325115277705621509,None,Official sources may not have called the race when this was Tweeted
1324042243989250048,None,Official sources may not have called the race when this was Tweeted
1324815627266199554,Learn about US 2020 election security efforts,None
1324850492745371648,None,Learn about US 2020 election security efforts
1236654042719420417,None,Manipulated media
1326711675165270017,None,This claim about election fraud is disputed
1328251638935552003,None,Multiple sources called this election differently
1327984555639386114,None,This claim about election fraud is disputed
1329541062709420034,Multiple sources called this election differently,None
1329543177666260997,None,Multiple sources called this election differently
1329490975266398210,Multiple sources called this election differently,None
1327979630477922304,This claim about election fraud is disputed,None
1327958231243763720,None,This claim about election fraud is disputed
1328028174563864577,Esta reivindicação de fraude é contestada,None
1328063568428888064,None,Esta reivindicação de fraude é contestada
1329963239170564098,This claim about election fraud is disputed,None
1329970475196428289,None,This claim about election fraud is disputed
1329054683441278977,Multiple sources called this election differently,None
1331214247955738624,This claim about election fraud is disputed,None
1331215427238830083,None,This claim about election fraud is disputed
1325195996415086592,None,This claim about election fraud is disputed
1325117768019177475,None,Official sources may not have called the race when this was Tweeted
1332407714304110597,This claim about election fraud is disputed,None
1324086031591886850,Official sources may not have called the race when this was Tweeted,None
1325195389977440258,None,This claim about election fraud is disputed
1323865861548085248,None,Learn about US 2020 election security efforts
1324389307147313152,None,Learn about US 2020 election security efforts
1324109098045087746,None,Official sources may not have called the race when this was Tweeted
1324088049668657155,None,Official sources may not have called the race when this was Tweeted
1325118001218277381,None,Official sources may not have called the race when this was Tweeted
1325066526769098752,None,Learn about US 2020 election security efforts
1325116505365819400,None,Official sources may not have called the race when this was Tweeted
1328371138540433420,None,Multiple sources called this election differently
1325106551686787072,None,Official sources may not have called the race when this was Tweeted
1325442934456512517,None,This claim about election fraud is disputed
1324352506185601025,None,Learn about US 2020 election security efforts
1324406883600506880,Some votes may still need to be counted,None
1324109784925220865,None,Official sources may not have called the race when this was Tweeted
1324910348365860865,This claim about election fraud is disputed,None
1325052851270377472,None,This claim about election fraud is disputed
1330642711150551043,None,Multiple sources called this election differently
1325117264320815106,None,Official sources may not have called the race when this was Tweeted
1236805664284053504,None,Manipulated media
1324113965522259969,None,Official sources may not have called the race when this was Tweeted
1328320685840752644,None,Multiple sources called this election differently
1324108895510499331,None,Official sources may not have called the race when this was Tweeted
1325121446331363334,None,Official sources may not have called the race when this was Tweeted
1325196928947269633,None,This claim about election fraud is disputed
1325129779180302336,None,Official sources may not have called the race when this was Tweeted
1327980405283315712,None,This claim about election fraud is disputed
1324717170304053250,Official sources may not have called the race when this was Tweeted,None
1265829597607636993,None,Manipulated media
1334240039639937026,This claim about election fraud is disputed,None
1334269526075199488,None,This claim about election fraud is disputed
1329513599245692928,None,This claim about election fraud is disputed
1325922719356084231,This claim about election fraud is disputed,None
1324725129595752448,None,Learn about US 2020 election security efforts
1329115371383697408,This claim about election fraud is disputed,None
1325097421542715393,None,Learn about US 2020 election security efforts
1325471304041062400,None,This claim about election fraud is disputed
1327336298668040195,None,This claim about election fraud is disputed
1334313639021580289,None,This claim about election fraud is disputed
1326354975203729408,None,This claim about election fraud is disputed
1325600202145869825,This claim about election fraud is disputed,None
1332390692719570944,None,This claim about election fraud is disputed
1327319294057848832,This claim about election fraud is disputed,None
1325255547285884930,None,Learn about US 2020 election security efforts
1324044041776959488,None,Learn about US 2020 election security efforts
1325932034645221376,None,This claim about election fraud is disputed
1323701138416406530,None,Manipulated media
1324340644320595968,None,Learn about US 2020 election security efforts
1326639595451117568,None,Learn how voting by mail is safe and secure
1326630618831130624,Learn how voting by mail is safe and secure,None
1324537170158342144,None,Learn about US 2020 election security efforts
1326938808076611585,None,This claim about election fraud is disputed
1328202327761838080,None,Multiple sources called this election differently
1324370429402906624,None,Some votes may still need to be counted
1327750127679889409,This claim about election fraud is disputed,None
1332788543563968512,None,This claim about election fraud is disputed
1330320971119685635,None,This claim about election fraud is disputed
1333410418119864320,This claim about election fraud is disputed,None
1324109318329896960,None,Official sources may not have called the race when this was Tweeted
1335378602855198725,None,This claim about election fraud is disputed
1327281351914115073,None,This claim about election fraud is disputed
1332778938121203720,This claim about election fraud is disputed,None
1324034562964508673,None,Learn about US 2020 election security efforts
1330524947094130696,None,This claim about election fraud is disputed
1330319748660416513,This claim about election fraud is disputed,None
1329874557725970436,None,This claim about election fraud is disputed
1333773762374807553,Multiple sources called this election differently,This claim about election fraud is disputed
1327407964404260870,Multiple sources called this election differently,None
1327279929319432200,This claim about election fraud is disputed,None
1334670866051981312,This claim about election fraud is disputed,None
1333775989906821121,None,Multiple sources called this election differently
1333414760776421378,None,This claim about election fraud is disputed
1332380881164578817,None,Multiple sources called this election differently
1323926617614393345,None,Learn about US 2020 election security efforts
1334699610556784641,None,This claim about election fraud is disputed
1329871775707107335,This claim about election fraud is disputed,None
1335370409592623107,This claim about election fraud is disputed,None
1327411407063756800,None,Multiple sources called this election differently
1328342501992882178,None,Multiple sources called this election differently
1330502378035027975,This claim about election fraud is disputed,None
1334242485166608388,None,This claim about election fraud is disputed
1327752163137884161,None,This claim about election fraud is disputed
1333415622693294081,None,This claim about election fraud is disputed
1333778227928707072,None,Multiple sources called this election differently
1332357064635637762,Election officials have certified Joe Biden as the winner of the U.S. Presidential election,None
1324026497536004098,Official sources may not have called the race when this was Tweeted,None
1330423792829681672,This claim about election fraud is disputed,None
1324116377674878976,None,Official sources may not have called the race when this was Tweeted
1334244756939935745,None,This claim about election fraud is disputed
1332398885160038402,Multiple sources called this election differently,None
1324109579433594880,None,Official sources may not have called the race when this was Tweeted
1328852354049957888,This claim about election fraud is disputed,None
1328200881133666305,None,Multiple sources called this election differently
1327353533339889664,None,This claim about election fraud is disputed
1324088524384083968,None,Official sources may not have called the race when this was Tweeted
1329872791638855686,None,This claim about election fraud is disputed
1328860450881110017,None,This claim about election fraud is disputed
1325120377098391552,None,Official sources may not have called the race when this was Tweeted
1324109714796408832,None,Official sources may not have called the race when this was Tweeted
1323865750403166209,None,Learn about US 2020 election security efforts
